img1,img2,match
FraMauro/1.jpg,FraMauro/10.jpg,1
FraMauro/1.jpg,FraMauro/11.jpg,1
FraMauro/1.jpg,FraMauro/12.jpg,1
FraMauro/1.jpg,FraMauro/13.jpg,1
FraMauro/1.jpg,FraMauro/14.jpg,1
FraMauro/1.jpg,FraMauro/15.jpg,1
FraMauro/1.jpg,FraMauro/16.jpg,1
FraMauro/1.jpg,FraMauro/17.jpg,1
FraMauro/1.jpg,FraMauro/19.jpg,1
FraMauro/1.jpg,FraMauro/2.jpg,1
FraMauro/1.jpg,FraMauro/20.jpg,1
FraMauro/1.jpg,FraMauro/21.jpg,1
FraMauro/1.jpg,FraMauro/6.jpg,1
FraMauro/1.jpg,FraMauro/7.jpg,1
FraMauro/1.jpg,FraMauro/8.jpg,1
FraMauro/1.jpg,FraMauro/9.jpg,1
FraMauro/1.jpg,GenoeseMap/1.jpg,0
FraMauro/1.jpg,GenoeseMap/10.jpg,0
FraMauro/1.jpg,GenoeseMap/11.jpg,0
FraMauro/1.jpg,GenoeseMap/12.jpg,0
FraMauro/1.jpg,GenoeseMap/13.jpg,0
FraMauro/1.jpg,GenoeseMap/14.jpg,0
FraMauro/1.jpg,GenoeseMap/15.jpg,0
FraMauro/1.jpg,GenoeseMap/16.jpg,0
FraMauro/1.jpg,GenoeseMap/2.jpg,0
FraMauro/1.jpg,GenoeseMap/4.jpg,0
FraMauro/1.jpg,GenoeseMap/6.jpg,0
FraMauro/1.jpg,GenoeseMap/7.jpg,0
FraMauro/1.jpg,GenoeseMap/8.jpg,0
FraMauro/1.jpg,GenoeseMap/9.jpg,0
FraMauro/1.jpg,Hunt-Lenox/1.jpg,0
FraMauro/1.jpg,Hunt-Lenox/2.jpg,0
FraMauro/1.jpg,Hunt-Lenox/3.jpg,0
FraMauro/1.jpg,Hunt-Lenox/4.jpg,0
FraMauro/1.jpg,Hunt-Lenox/5.jpg,0
FraMauro/1.jpg,Hunt-Lenox/6.jpg,0
FraMauro/1.jpg,Hunt-Lenox/7.jpg,0
FraMauro/1.jpg,Nachtwacht/1.jpg,0
FraMauro/1.jpg,Nachtwacht/10.jpg,0
FraMauro/1.jpg,Nachtwacht/11.jpg,0
FraMauro/1.jpg,Nachtwacht/12.jpg,0
FraMauro/1.jpg,Nachtwacht/13.jpg,0
FraMauro/1.jpg,Nachtwacht/14.jpg,0
FraMauro/1.jpg,Nachtwacht/15.jpg,0
FraMauro/1.jpg,Nachtwacht/16.jpg,0
FraMauro/1.jpg,Nachtwacht/17.jpg,0
FraMauro/1.jpg,Nachtwacht/19.jpg,0
FraMauro/1.jpg,Nachtwacht/2.jpg,0
FraMauro/1.jpg,Nachtwacht/21.jpg,0
FraMauro/1.jpg,Nachtwacht/22.jpg,0
FraMauro/1.jpg,Nachtwacht/23.jpg,0
FraMauro/1.jpg,Nachtwacht/24.jpg,0
FraMauro/1.jpg,Nachtwacht/25.jpg,0
FraMauro/1.jpg,Nachtwacht/26.jpg,0
FraMauro/1.jpg,Nachtwacht/27.jpg,0
FraMauro/1.jpg,Nachtwacht/28.jpg,0
FraMauro/1.jpg,Nachtwacht/29.jpg,0
FraMauro/1.jpg,Nachtwacht/3.jpg,0
FraMauro/1.jpg,Nachtwacht/30.jpg,0
FraMauro/1.jpg,Nachtwacht/31.jpg,0
FraMauro/1.jpg,Nachtwacht/32.jpg,0
FraMauro/1.jpg,Nachtwacht/33.jpg,0
FraMauro/1.jpg,Nachtwacht/34.jpg,0
FraMauro/1.jpg,Nachtwacht/35.jpg,0
FraMauro/1.jpg,Nachtwacht/36.jpg,0
FraMauro/1.jpg,Nachtwacht/37.jpg,0
FraMauro/1.jpg,Nachtwacht/38.jpg,0
FraMauro/1.jpg,Nachtwacht/39.jpg,0
FraMauro/1.jpg,Nachtwacht/4.jpg,0
FraMauro/1.jpg,Nachtwacht/40.jpg,0
FraMauro/1.jpg,Nachtwacht/41.jpg,0
FraMauro/1.jpg,Nachtwacht/42.jpg,0
FraMauro/1.jpg,Nachtwacht/5.jpg,0
FraMauro/1.jpg,Nachtwacht/6.jpg,0
FraMauro/1.jpg,Nachtwacht/7.jpg,0
FraMauro/1.jpg,Nachtwacht/8.jpg,0
FraMauro/1.jpg,Nachtwacht/9.jpg,0
FraMauro/1.jpg,NederlandseSpreekwoorden/1.jpg,0
FraMauro/1.jpg,NederlandseSpreekwoorden/12.jpg,0
FraMauro/1.jpg,NederlandseSpreekwoorden/13.jpg,0
FraMauro/1.jpg,NederlandseSpreekwoorden/15.jpg,0
FraMauro/1.jpg,NederlandseSpreekwoorden/2.jpg,0
FraMauro/1.jpg,NederlandseSpreekwoorden/20.jpg,0
FraMauro/1.jpg,NederlandseSpreekwoorden/4.jpg,0
FraMauro/1.jpg,NederlandseSpreekwoorden/5.jpg,0
FraMauro/1.jpg,NederlandseSpreekwoorden/8.jpg,0
FraMauro/1.jpg,NederlandseSpreekwoorden/9.jpg,0
FraMauro/1.jpg,Rijksmuseum/1.jpg,0
FraMauro/1.jpg,Rijksmuseum/10.jpg,0
FraMauro/1.jpg,Rijksmuseum/11.jpg,0
FraMauro/1.jpg,Rijksmuseum/12.jpg,0
FraMauro/1.jpg,Rijksmuseum/13.jpg,0
FraMauro/1.jpg,Rijksmuseum/14.jpg,0
FraMauro/1.jpg,Rijksmuseum/15.jpg,0
FraMauro/1.jpg,Rijksmuseum/16.jpg,0
FraMauro/1.jpg,Rijksmuseum/17.jpg,0
FraMauro/1.jpg,Rijksmuseum/18.jpg,0
FraMauro/1.jpg,Rijksmuseum/19.jpg,0
FraMauro/1.jpg,Rijksmuseum/2.jpg,0
FraMauro/1.jpg,Rijksmuseum/20.jpg,0
FraMauro/1.jpg,Rijksmuseum/21.jpg,0
FraMauro/1.jpg,Rijksmuseum/22.jpg,0
FraMauro/1.jpg,Rijksmuseum/23.jpg,0
FraMauro/1.jpg,Rijksmuseum/24.jpg,0
FraMauro/1.jpg,Rijksmuseum/25.jpg,0
FraMauro/1.jpg,Rijksmuseum/3.jpg,0
FraMauro/1.jpg,Rijksmuseum/4.jpg,0
FraMauro/1.jpg,Rijksmuseum/5.jpg,0
FraMauro/1.jpg,Rijksmuseum/6.jpg,0
FraMauro/1.jpg,Rijksmuseum/7.jpg,0
